Product Name,Column2,Price
HP 15s Core i3 10th Gen - (8 GB/1 TB HDD/Windows 10 Home) 15q-DS3001TU Laptop,/hp-15s-core-i3-10th-gen-8-gb-1-tb-hdd-windows-10-home-15q-ds3001tu-laptop/p/itmca15395244b30?pid=COMFUR8XAAVKMDYT&lid=LSTCOMFUR8XAAVKMDYTHNMCDC&marketplace=FLIPKART&srno=s_1_1&otracker=search&otracker1=search&fm=SEARCH&iid=46dcadfe-dd18-4783-b3ed-726e08784618.COMFUR8XAAVKMDYT.SEARCH&ppt=sp&ppn=sp&ssid=ezl9ydyvc00000001607163293952&qH=146bdebb324a64d3,"₹35,990"
HP 15 Ryzen 3 Dual Core 3200U - (4 GB/1 TB HDD/Windows 10 Home) 15-db1069AU Laptop,/hp-15-ryzen-3-dual-core-3200u-4-gb-1-tb-hdd-windows-10-home-15-db1069au-laptop/p/itmac27ac71e82f9?pid=COMFNXKS7TWWECNF&lid=LSTCOMFNXKS7TWWECNFKLRYMB&marketplace=FLIPKART&srno=s_1_2&otracker=search&otracker1=search&fm=SEARCH&iid=46dcadfe-dd18-4783-b3ed-726e08784618.COMFNXKS7TWWECNF.SEARCH&ppt=sp&ppn=sp&ssid=ezl9ydyvc00000001607163293952&qH=146bdebb324a64d3,"₹30,000"
HP 15s Ryzen 3 Dual Core 3250U - (4 GB/1 TB HDD/256 GB SSD/Windows 10 Home) 15s-GR0008AU Thin and Ligh...,/hp-15s-ryzen-3-dual-core-3250u-4-gb-1-tb-hdd-256-gb-ssd-windows-10-home-15s-gr0008au-thin-light-laptop/p/itmdbea154ad1e29?pid=COMFUAGMKAYNFGBB&lid=LSTCOMFUAGMKAYNFGBBIZTAZ3&marketplace=FLIPKART&srno=s_1_3&otracker=search&otracker1=search&fm=SEARCH&iid=46dcadfe-dd18-4783-b3ed-726e08784618.COMFUAGMKAYNFGBB.SEARCH&ppt=sp&ppn=sp&ssid=ezl9ydyvc00000001607163293952&qH=146bdebb324a64d3,"₹34,990"
HP 14s Core i3 10th Gen - (8 GB/256 GB SSD/Windows 10 Home) 14s-cf3074TU Thin and Light Laptop,/hp-14s-core-i3-10th-gen-8-gb-256-gb-ssd-windows-10-home-14s-cf3074tu-thin-light-laptop/p/itm2d6c5477c8512?pid=COMFU3NRNWRZZ7SZ&lid=LSTCOMFU3NRNWRZZ7SZRF4PTK&marketplace=FLIPKART&srno=s_1_4&otracker=search&otracker1=search&fm=SEARCH&iid=46dcadfe-dd18-4783-b3ed-726e08784618.COMFU3NRNWRZZ7SZ.SEARCH&ppt=sp&ppn=sp&ssid=ezl9ydyvc00000001607163293952&qH=146bdebb324a64d3,"₹35,990"
HP 15s Core i3 10th Gen - (4 GB/512 GB SSD/Windows 10 Home) 15s-fr1004tu Thin and Light Laptop,/hp-15s-core-i3-10th-gen-4-gb-512-gb-ssd-windows-10-home-15s-fr1004tu-thin-light-laptop/p/itmc424ec6e4ccc7?pid=COMFRWT5MDPKAQWA&lid=LSTCOMFRWT5MDPKAQWA419XFO&marketplace=FLIPKART&srno=s_1_5&otracker=search&otracker1=search&fm=SEARCH&iid=46dcadfe-dd18-4783-b3ed-726e08784618.COMFRWT5MDPKAQWA.SEARCH&ppt=sp&ppn=sp&ssid=ezl9ydyvc00000001607163293952&qH=146bdebb324a64d3,"₹42,489"
Asus Celeron Dual Core - (4 GB/1 TB HDD/Windows 10 Home) X543MA-GQ1015T Laptop,/asus-celeron-dual-core-4-gb-1-tb-hdd-windows-10-home-x543ma-gq1015t-laptop/p/itmf8811674edbeb?pid=COMFSKF9UQH8RKYF&lid=LSTCOMFSKF9UQH8RKYF8MP9QW&marketplace=FLIPKART&srno=s_1_6&otracker=search&otracker1=search&fm=SEARCH&iid=46dcadfe-dd18-4783-b3ed-726e08784618.COMFSKF9UQH8RKYF.SEARCH&ppt=sp&ppn=sp&ssid=ezl9ydyvc00000001607163293952&qH=146bdebb324a64d3,"₹20,990"
HP 15s Ryzen 5 Quad Core 3500U - (8 GB/512 GB SSD/Windows 10 Home) 15s-EQ0024au Thin and Light Laptop,/hp-15s-ryzen-5-quad-core-3500u-8-gb-512-gb-ssd-windows-10-home-15s-eq0024au-thin-light-laptop/p/itme4fb92560cdfb?pid=COMFZGSZUG754EAH&lid=LSTCOMFZGSZUG754EAH9ROYSC&marketplace=FLIPKART&srno=s_1_7&otracker=search&otracker1=search&fm=SEARCH&iid=46dcadfe-dd18-4783-b3ed-726e08784618.COMFZGSZUG754EAH.SEARCH&ppt=sp&ppn=sp&ssid=ezl9ydyvc00000001607163293952&qH=146bdebb324a64d3,"₹48,990"
Acer Aspire 7 Ryzen 5 Quad Core 3550H - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA Geforce ...,/acer-aspire-7-ryzen-5-quad-core-3550h-8-gb-512-gb-ssd-windows-10-home-4-graphics-nvidia-geforce-gtx-1650-60-hz-a715-41g-r6s8-gaming-laptop/p/itm56e58b0c59ea3?pid=COMFUUJGMZCNJDZH&lid=LSTCOMFUUJGMZCNJDZHLDO59A&marketplace=FLIPKART&srno=s_1_8&otracker=search&otracker1=search&fm=SEARCH&iid=46dcadfe-dd18-4783-b3ed-726e08784618.COMFUUJGMZCNJDZH.SEARCH&ppt=sp&ppn=sp&ssid=ezl9ydyvc00000001607163293952&qH=146bdebb324a64d3,"₹53,990"
Acer Aspire 7 Ryzen 7 Quad Core 3750H - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA Geforce ...,/acer-aspire-7-ryzen-quad-core-3750h-8-gb-512-gb-ssd-windows-10-home-4-graphics-nvidia-geforce-gtx-1650-60-hz-a715-41g-r9ae-gaming-laptop/p/itm266a73dee84f6?pid=COMFR6AAHMJGE6ZK&lid=LSTCOMFR6AAHMJGE6ZKWXXSEY&marketplace=FLIPKART&srno=s_1_9&otracker=search&otracker1=search&fm=SEARCH&iid=46dcadfe-dd18-4783-b3ed-726e08784618.COMFR6AAHMJGE6ZK.SEARCH&ppt=sp&ppn=sp&ssid=ezl9ydyvc00000001607163293952&qH=146bdebb324a64d3,"₹57,990"
,/acer-one-14-pentium-gold-4-gb-1-tb-hdd-windows-10-home-z2-485-thin-light-laptop/p/itm7b6d6b88ad576?pid=COMFUR8XH6ZS995D&lid=LSTCOMFUR8XH6ZS995DJMFENX&marketplace=FLIPKART&spotlightTagId=BestsellerId_6bo%2Fb5g&srno=s_1_10&otracker=search&otracker1=search&fm=SEARCH&iid=46dcadfe-dd18-4783-b3ed-726e08784618.COMFUR8XH6ZS995D.SEARCH&ppt=sp&ppn=sp&ssid=ezl9ydyvc00000001607163293952&qH=146bdebb324a64d3,
