title	URL	Column3	date
What Is Data Scraping And How Can You Use It? | Target ...	https://www.targetinternet.com/what-is-data-scraping-and-how-can-you-use-it/	"Sep 13, 2017 · Uploaded by Lucy Provost"	
What is Web Scraping and How Does Web Crawling Work?	https://www.scrapinghub.com/what-is-web-scraping/	"Nov 18, 2020 · Uploaded by Scrapinghub"	
Watch | What is data scraping? - The Hindu	https://www.thehindu.com/sci-tech/technology/what-is-data-scraping/article32908610.ece	21-Oct-20	
What is DATA SCRAPING? - YouTube	https://www.youtube.com/watch?v=omTtMylcWOI	"Sep 21, 2017 · Uploaded by The Audiopedia"	
What is Web Scraping and What is it Used For? | ParseHub	https://www.parsehub.com/blog/what-is-web-scraping/	"Aug 6, 2019 · Uploaded by ParseHub"	
Web Scraping Software - UiPath	https://www.uipath.com/solutions/technology/web-scraping-software	"Nov 16, 2020 · Uploaded by UiPath"	
Data Scraping for SEO & Analytics - Tutorial - Optimize Smart	https://www.optimizesmart.com/data-scraping-guide-for-seo/	"Oct 7, 2011 · Uploaded by Garrett French CL"	
Best Data Scraping Tools for 2020 (Top 10 Reviews) | Octoparse	https://www.octoparse.com/blog/best-data-scraping-tools-for-2019-top-10-reviews	"Jun 3, 2019 · Uploaded by Octoparse"	
20 best web scraping tools for 2020 - ScrapingBee	https://www.scrapingbee.com/blog/web-scraping-tools/	"Feb 19, 2020 · Uploaded by Web Scraper"	
What is data scraping? - YouTube	https://www.youtube.com/watch?v=COeMzrSYgvw	"Oct 30, 2020 · Uploaded by The Hindu"	
Web Scraping Examples: How are Businesses Using Web ...	https://www.parsehub.com/blog/web-scraping-examples/	"Oct 28, 2019 · Uploaded by ParseHub"	
Top 5 Social Media Scraping Tools for 2020 | Octoparse	https://www.octoparse.com/blog/top-5-social-media-scraping-tools-for-2018	"Oct 17, 2018 · Uploaded by Octoparse"	
11 Popular Cloud-based Web Scraping Solutions - Geekflare	https://geekflare.com/web-scraping-tools/	"Nov 27, 2020 · Uploaded by Web Scraper"	
Web Data Extraction Automation - UiPath	https://www.uipath.com/developers/video-tutorials/web-data-extraction-automation	"Nov 16, 2020 · Uploaded by UiPath"	
What is Web Scraping and What is it Used For ... - YouTube	https://www.youtube.com/watch?v=Ct8Gxo8StBU	"Sep 27, 2019 · Uploaded by ParseHub"	
What is WEB SCRAPING? - YouTube	https://www.youtube.com/watch?v=7IUfRVYew-o	"Jan 20, 2017 · Uploaded by The Audiopedia"	
5 Best Web Scraping Tools in 2020! - YouTube	https://www.youtube.com/watch?v=QbkXCkcmHJI	"Apr 8, 2019 · Uploaded by Octoparse"	
What is a present-day web scraper? | Towards Data Science	https://towardsdatascience.com/what-is-a-present-day-scraper-e2c3d3b79648	"Jun 5, 2020 · Uploaded by Dmitry Narizhnykh"	
Web scraping in Python (Part 1): Getting started - YouTube	https://www.youtube.com/watch?v=r_xb0vF1uMc	"Aug 11, 2017 · Uploaded by Data School"	
Intro to Web Scraping with Python and Beautiful Soup - YouTube	https://www.youtube.com/watch?v=XQgXKtPSzUI	"Jan 7, 2017 · Uploaded by Data Science Dojo"	
Web Scraping Tool to Extract Data from Websites - Agenty	https://www.agenty.com/products/scraping-agent/	"Oct 30, 2019 · Uploaded by Agenty"	
Web Scraping and APIs — Interactive Python Course	https://www.dataquest.io/course/apis-and-scraping/	"Oct 28, 2020 · Uploaded by Dataquest"	
Web Scraping: The Comprehensive Guide for 2020 ...	https://prowebscraper.com/blog/what-is-web-scraping/	"Feb 17, 2020 · Uploaded by ProWebScraper"	
Data Analytics with Python by Web scraping: Illustration with ...	https://towardsdatascience.com/data-analytics-with-python-by-web-scraping-illustration-with-cia-world-factbook-abbdaa687a84	"Mar 3, 2018 · Uploaded by sentdex"	
Automated data scraping from websites into Excel - YouTube	https://www.youtube.com/watch?v=qbOdUaf4yfI	"Nov 3, 2012 · Uploaded by Dinesh Kumar Takyar"	
Automate Web Data Extraction and Data Scraping ...	https://www.helpsystems.com/product-lines/automate/data-scraping-extraction	6-Sep-15	
Screen Scraping Any Desktop Application - UiPath	https://www.uipath.com/developers/video-tutorials/screen-scraping-desktop-application	"Nov 16, 2020 · Uploaded by UiPath"	
